"SCINAME","COMNAME","SVSPP","SVABBR","PYSPP","PYABBR","NODCCODE","NODCTYPE","NODCLEVL","NODCCTRL","NODCAUTH","AUTHOR","PICTURE","COMMNT","O_SVSCNM","O_SVCONM","O_SVSPP","DOC","UOC","DOE","UOE"
"ARIOMMA BONDI","SILVER RAG",213,"SILRAG","823217401010000","ARIBON","8851020101",NA,"S",NA,"FOWLER","AFS-1991",NA,NA,"Ariomma bondi","Silver Rag","213",1995-08-09,"BK",NA,NA
"ARIOMMA MELANUM","BROWN DRIFTFISH",891,"BRDRIFT",NA,NA,"8851020102",NA,"S",NA,"(GINSBURG)","AFS-1991",NA,NA,"Ariomma melanum","Brown Driftfish","891",1995-08-09,"BK",NA,NA
"ARIOMMA REGULUS","SPOTTED DRIFTFISH",748,"SPODRIFT",NA,NA,"8851020104",NA,"S",NA,"(POEY)","AFS-1991",NA,NA,"Ariomma regulus","Spotted Driftfish","748",1995-08-09,"BK",NA,NA
"ARIOSOMA BALEARICUM","BANDTOOTH CONGER",389,"BANCONG",NA,NA,"8741120201",NA,"S",NA,"(DELAROCHE, 1809)","AFS-1991",NA,"|SV: SEE DUP CODE 893, USE 389","Ariosoma balearicum","Bandtooth Conger","389",1995-08-09,"BK",NA,NA
"ARIUS FELIS","HARDHEAD CATFISH",441,"SEACAT",NA,NA,"8777180202",NA,"S",NA,"(LINNAEUS, 1766)","AFS-1991",NA,NA,"Arius felis","Hardhead Catfish","441",1995-08-09,"BK",NA,NA
"ARRHIS PHYLLONYX",NA,NA,NA,"411012007010000","ARRPHY","6169370402",NA,"S",NA,"M. SARS, 1858",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"ARTEDIELLUS SP","HOOKEAR SCULPIN UNCL",159,"HOOKU","823212302000000","ARTESP","88310203",NA,"G",NA,NA,"AFS-1991",NA,NA,"Artediellus sp","Hookear Sculpin Uncl","159",1998-12-31 23:00:00,"FPA",NA,NA
"ARTEDIELLUS UNCINATUS","ARCTIC HOOKEAR SCULPIN",NA,NA,"823212302030000","ARTUNC","8831020306",NA,"S",NA,"REINHARDT","AFS-1991",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"ARTHROPODA",NA,NA,NA,"410000000000000","ARTHRO","5790",NA,"P",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPELISCA ABDITA",NA,NA,NA,"411010201070000","AMPABD","6169020108",NA,"S",NA,"MILLS, 1964",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPELISCA AGASSIZI",NA,NA,NA,"411010201010000","AMPAGA","6169020111",NA,"S",NA,"JUDD, 1896","NODC",NA,"USED NODC SPELLING (A. AGASSIZII SYN.)",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPELISCA DECLIVITATIS",NA,NA,NA,"411010201110000","AMPDEC","6169020115",NA,"S",NA,"MILLS, 1967",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPELISCA ESCHRICHTI",NA,NA,NA,"411010201060000","AMPESC","6169020105",NA,"S",NA,"KROYER, 1842",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPELISCA MACROCEPHALA",NA,NA,NA,"411010201030000","AMPMAC","6169020101",NA,"S",NA,"LILJEBORG",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPELISCA SP",NA,NA,NA,"411010201000000","AMPESP","61690201",NA,"G",NA,"KROYER, 1842",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPELISCA SPINIPES",NA,NA,NA,"411010201040000","AMPES1","6169020119",NA,"S",NA,"BOECK, 1861",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPELISCA VADORUM",NA,NA,NA,"411010201080000","AMPVAD","6169020109",NA,"S",NA,"MILLS, 1963",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPELISCA VERRILLI",NA,NA,NA,"411010201100000","AMPVER","6169020110",NA,"S",NA,"MILLS, 1967",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPELISCIDAE",NA,NA,NA,"411010200000000","AMPFAM","616902",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHARETE ACUTIFRONS",NA,NA,NA,"214170102010000","AMPACU","5001670208",NA,"S",NA,"GRUBE",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHARETE ARCTICA",NA,NA,NA,"214170102020000","AMPARC","5001670201",NA,"S",NA,"MALMGREN",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHARETE SP",NA,NA,NA,"214170102000000","AMPHSP","50016702",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHARETIDAE",NA,NA,NA,"214170100000000","AMPFA1","500167",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHICTEIS GUNNERI",NA,NA,NA,"214170103010000","AMPGUN","5001670303",NA,"S",NA,"(SARS)","NODC",NA,"USED NODC SPELLING, (A. GUNNERII SYN.)",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHILIMNA OLIVACEA",NA,NA,NA,"613020202010000","AMPOLI","8129031101",NA,"S",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHILOCHIDAE",NA,NA,NA,"411010300000000","AMPFA2","616903",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHINOMIDAE","FIREWORM UNCL",NA,NA,"214010100000000","AMPFA3","500110",NA,"F",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHIODIA SP",NA,NA,NA,"613020204000000","AMPHS1","81290301",NA,"G",NA,"VERRILL, 1899",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHIOPLUS ABDITA",NA,NA,NA,"613020205010000","AMPAB1","8129030901",NA,"S",NA,"VERRILL, 1871",NA,NA,"CORRECTED TYPO",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHIOPLUS SP",NA,NA,NA,"613020205000000","AMPHS2","81290309",NA,"G",NA,"VERRILL, 1899",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHIPHOLIS SP",NA,NA,NA,"613020206000000","AMPHS3","81290302",NA,"G",NA,"LJUNGMAN, 1966",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHIPODA",NA,NA,NA,"411010000000000","AMPHIP","6168",NA,"O",NA,NA,NA,NA,"INCLUDED RECORDS ID'ED AS A. TUBES",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHIPOREIA GIGANTEA",NA,NA,NA,"411011301030000","AMPGIG","NONE",NA,NA,NA,NA,"GLENNON 1979",NA,"NOT IN NODC LIST",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHIPOREIA LAWRENCIANA",NA,NA,NA,"411011301010000","AMPLAW","6169220702",NA,"S",NA,"SHOEMAKER, 1929",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHIPOREIA SP",NA,NA,NA,"411011301000000","AMPHS4","61692207",NA,"G",NA,"SHOEMAKER, 1929",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHIPOREIA VIRGINIANA",NA,NA,NA,"411011301020000","AMPVIR","6169220701",NA,"S",NA,"SHOEMAKER, 1933",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHITRITE JOHNSTONI",NA,NA,NA,"214170501030000","AMPJOH","5001680104",NA,"S",NA,NA,"NODC",NA,"USED NODC SPELLING (A. JOHNSTONII SYN.)",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHITRITE SP",NA,NA,NA,"214170501000000","AMPHS5","50016801",NA,"G",NA,NA,NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHIURA SP",NA,NA,NA,"613020207000000","AMPHS6","81290310",NA,"G",NA,"FORBES, 1942",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHIURIDAE",NA,NA,NA,"613020200000000","AMPFA4","812903",NA,"F",NA,"LJUNGMAN, 1867",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPITHOE RUBRICATA",NA,NA,NA,"411010401020000","AMPRUB","6169040101",NA,"S",NA,"MONTAGU, 1808",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPITHOE SP",NA,NA,NA,"411010401000000","AMPISP","61690401",NA,"G",NA,"LEACH, 1814",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"ANACHIS SP",NA,NA,NA,"514080801000000","ANACSP","51050303",NA,"G",NA,"H. & A. ADAMS,1853","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"ANADARA SP",NA,NA,NA,"512010101000000","ANADSP","55060102",NA,"G",NA,"GRAY,1847","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"ANADARA TRANSVERSA","TRANSVERSE ARK",NA,NA,"512010101060000","ANATRA","5506010201",NA,"S",NA,"(SAY,1822)","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"ANARCHIAS SIMILIS","PYGMY MORAY",385,"PYGMORA",NA,NA,"8741050107",NA,"S",NA,"(LEA, 1913)","AFS-1991",NA,"|SV: NAME CHANGE AFS-1990","Anarchias yoshiae","Pygmy Moray","385",1995-08-09,"BK",NA,NA
"ANARHICHAS LUPUS","ATLANTIC WOLFFISH",192,"WOLFFISH","823210401020000","ANALUP","8842020103",NA,"S",NA,"LINNAEUS","AFS-1991",NA,NA,"Anarhichas lupus","Atlantic Wolffish","192",1995-08-09,"BK",NA,NA
"ANATOMA CRISPATA","CRISPATE SCISSURELLE",NA,NA,"514020802010000","ANACRI","5102020302",NA,"S",NA,"FLEMING, 1828","AFS-1988",NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"ANCHOA CUBANA","CUBAN ANCHOVY",889,"CUBANCH",NA,NA,"8747020203",NA,"S",NA,"(POEY, 1868)","AFS-1991",NA,NA,"Anchoa cubana","Cuban Anchovy","889",1995-08-09,"BK",NA,NA
"ANCHOA HEPSETUS","STRIPED ANCHOVY",44,"STRANCH","823080701060000","ANCHEP","8747020201",NA,"S",NA,"(LINNAEUS, 1758)","AFS-1991",NA,NA,"Anchoa hepsetus","Striped Anchovy","044",1995-08-09,"BK",NA,NA
"ANCHOA LYOLEPIS","DUSKY ANCHOVY",859,"DUSANCH",NA,NA,"8747020205",NA,"S",NA,"(EVERMANN AND MARSH, 1900)","AFS-1991",NA,NA,"Anchoa lyolepis","Dusky Anchovy","859",1995-08-09,"BK",NA,NA
"ANCHOA MITCHILLI","BAY ANCHOVY",43,"BAYANCH","823080701090000","ANCMIT","8747020202",NA,"S",NA,"(VALENCIENNES, 1848)","AFS-1991",NA,NA,"Anchoa mitchilli","Bay Anchovy","043",1995-08-09,"BK",NA,NA
"ANCHOA NASUTA","LONGNOSE ANCHOVY",890,"LONANCH",NA,NA,"8747020206",NA,"S",NA,"HILDEBRAND AND CARVALHO, 1948","AFS-1991",NA,NA,"Anchoa nasuta","Longnose Anchovy","890",1995-08-09,"BK",NA,NA
"ANCHOA SP",NA,NA,NA,"823080701000000","ANCHSP","87470202",NA,"G",NA,NA,"AFS-1991",NA,"VALIDE 1973-80, FREQUENT ERRORS LATER",NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"ANCHOVIELLA PERFASCIATA","FLAT ANCHOVY",430,"FLAANCH",NA,NA,"8747020304",NA,"S",NA,"(POEY, 1860)","AFS-1991",NA,NA,"Anchoviella perfasciata","Flat Anchovy","430",1995-08-09,"BK",NA,NA
"ANCINUS DEPRESSUS",NA,NA,NA,"411031101010000","ANCDEP","6161020601",NA,"S",NA,"(SAY, 1818)",NA,NA,NA,NA,NA,NA,1994-12-27 23:00:00,"RAR",NA,NA
"AMPHIPODA TUBES","AMPHIPOD TUBE UNCL",NA,NA,"411010000000009","AMPTUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-11-01 23:00:00,"FPA",NA,NA
"TROCHIDAE","TOPSNAIL UNCL",NA,NA,"514021000000000","TROFAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-11-01 23:00:00,"FPA",NA,NA
"RHYNCHONELLIDAE",NA,NA,NA,"741010300000000","RHYFAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-11-01 23:00:00,"FPA",NA,NA
"POLYCLINIDAE","SEA PORK UNCL",NA,NA,"761010700000000","POLYCL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-11-01 23:00:00,"FPA",NA,NA
"OSMERIDAE LARVAE","SMELT LARVAE",NA,NA,"823081400000200","OSMLAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-11-01 23:00:00,"FPA",NA,NA
"GADIDAE LARVAE","GADID LARVAE",NA,NA,"823130200000200","GADLAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-11-01 23:00:00,"FPA",NA,NA
"GADUS MORHUA LARVAE","ATLANTIC COD LARVAE",NA,NA,"823130206020200","GADMO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-11-01 23:00:00,"FPA",NA,NA
"MERLUCCIUS BILINEARIS OTOLITHS","SILVER HAKE OTOLITHS",NA,NA,"823130210020001","MERBI2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-11-01 23:00:00,"FPA",NA,NA
"COTTIDAE LARVAE","SCULPIN LARVAE",NA,NA,"823212300000200","COTLAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-11-01 23:00:00,"FPA",NA,NA
"CYCLOPTERIDAE LARVAE","SNAILFISH LARVAE",NA,NA,"823212500000200","CYCLAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-11-01 23:00:00,"FPA",NA,NA
"PLEURONECTIDAE LARVAE","RIGHTEYE FLOUNDER LARVAE",NA,NA,"823230300000200","PLELA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-11-01 23:00:00,"FPA",NA,NA
"LIMANDA FERRUGINEA LARVAE","YELLOWTAIL FLOUNDER LARVAE",NA,NA,"823230310020200","PLEFLA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-11-01 23:00:00,"FPA",NA,NA
"THALASSINOIDEA","LOBSTER, GHOST, AND MUD SHRIMP UNCL",NA,NA,"411020000030000","THALAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-11-01 23:00:00,"FPA",NA,NA
"BOTHIDAE LARVAE","LEFTEYE FLOUNDER LARVAE",NA,NA,"823230100000200","BOTLAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-11-01 23:00:00,"FPA",NA,NA
"PORTUNUS SPINIMANUS","BLOTCHED SWIMMING CRAB",516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ILLEX ILLECEBROSUS EGG MOPS","NORTHERN SHORTFIN SQUID EGG MOPS",519,NA,"515011101010100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOLIGO PEALEII EGG MOPS","LONGFIN SQUID EGG MOPS",520,NA,"515010901010100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLEOTICUS ROBUSTUS","ROYAL RED SHRIMP",910,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PLESIOPENAEUS EDWARDSIANUS","SCARLET GAMBA SHRIMP",911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PENAEUS DUORARUM","PINK SHRIMP",914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRIONOTUS LONGISPINOSUS","BIGEYE SEAROBIN",767,NA,NA,NA,NA,NA,NA,NA,NA,"AFS-1991",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHORONIDA","PHORONID WORM UNCL",NA,NA,"720000000000000","PHORON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIMANDA FERRUGINEA EGGS","YELLOWTAIL FLOUNDER EGGS",NA,NA,"823230310020100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MYA ARENARIA","SOFTSHELL CLAM",NA,NA,"512080601010000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-03-11 23:00:00,"FPA"
"GASTROPODA VISCERA","SNAIL UNCL VISCERA",NA,NA,"514000000000007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-03-11 23:00:00,"FPA"
"CONGRIDAE LARVAE","CONGER EEL UNCL LARVAE",NA,NA,"823030200000200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-03-11 23:00:00,"FPA"
"TEUTHOIDEA EGGS","SQUID EGGS",NA,NA,"515010000000100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-03-11 23:00:00,"FPA"
"LOLIGO SP BEAKS",NA,NA,NA,"515010901000005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-03-11 23:00:00,"FPA"
"UNKNOWN 20","UNKNOWN 20",997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5",NA,NA,NA,2003-04-10 15:24:28,"NMCHUGH",2003-04-10 15:12:03,"NMCHUGH"
"BOLTENIA SP",NA,NA,NA,"761020201000000","BOLTSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-03-29 23:00:00,"FPA"
"MONOFILAMENT FISHING LINE","MONOFILAMENT LINE",NA,NA,"932020502010000","MONLIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-03-29 23:00:00,"FPA"
"PAGURIDAE LARVAE","RIGHT-HANDED HERMIT CRAB LARVAE",NA,NA,"411022200000200","PAGLAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-04-05,"FPA"
"TRASH SPECIES IN CATCH","TRASH",998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDOTEA MONTOSA",NA,NA,NA,"411030602010000","EDOMON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"UNOBSERVED","UNOBSERVED",NA,NA,"999999999020000","UNOBS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-11-16 23:00:00,"FPA"
"ERYTHROPS SP",NA,NA,NA,"411060305000000","ERYTSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"LUMBRINERIS GRACILIS",NA,NA,NA,"214050705120000","LUMGRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"CANCER SP MEGALOPA",NA,NA,NA,"411020401000400","CANMEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"PONTOGENEIA SP",NA,NA,NA,"411012701000000","PONSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"PLEUROGONA",NA,NA,NA,"761030000000000","PLEOR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"PSAMMONYX SP",NA,NA,NA,"411011809000000","PSAMSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"LAMPROPS FUSCATA",NA,NA,NA,"411040301030000","LAMFUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"JASMINEIRA SP",NA,NA,NA,"214130205000000","JASMSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"NINOE SP",NA,NA,NA,"214050706000000","NINOSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"CLADOCORYNE SP",NA,NA,NA,"051011305000000","CLADSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"FPA"
"GLYCINDE SP",NA,NA,NA,"214110801000000","GLYSP2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"FPA"
"MOLPADIIDA",NA,NA,NA,"615050000000000","MOLORD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"FPA"
"MONOCULODES BOREALIS",NA,NA,NA,"411012001020000","MONBOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"LOLIGO SP GLADIUS","LOLIGO SP PEN",NA,NA,"515010901000010","LOLGL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"TURBELLARIA","PLANARIAN UNCL",NA,NA,"073000000000000","TURBEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"SOLENIDAE VISCERA","RAZOR CLAM VISCERA",NA,NA,"512082500000007","SOLVIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"ASTARTE SP VISCERA",NA,NA,NA,"512080201000007","ASTVIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"BUCCINUM UNDATUM VISCERA","WAVED WHELK VISCERA",NA,NA,"514080101010007","BUCVIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"CALLIONYMIDAE","DRAGONET UNCL",NA,NA,"823218500000000","CALFA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"ALEPISAURIDAE","LANCETFISH UNCL",NA,NA,"823180900000000","ALEFA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"GILVOSSIUS SETIMANUS",NA,NA,NA,"411020301020000","GILSET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"RUBBER","RUBBER",NA,NA,"932020401000000","RUBBER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"PA"
"METAL","METAL",NA,NA,"933010101000000","METAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999-12-19 23:00:00,"FPA"
"DECAPODA SHRIMP LARVAE","DECAPOD SHRIMP LARVAE",NA,NA,"411020000020200","DESLAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-04-05,"FPA"
"SCOMBER SCOMBRUS EGG","ATLANTIC MACKEREL EGGS",NA,NA,"823216506030100","SCOEGG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-04-05,"PA"
"LEPTOMEDUSAE","THECATE HYDROID UNCL",NA,NA,"051010000000000","LEPFA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-04-05,"FPA"
"SCALIBREGMA SP",NA,NA,NA,"214080203000000","SCALSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-04-05,"FPA"
"BOTHUS SP",NA,NA,NA,"823230101000000","BOTHSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-05,"FPA"
"SCALIBREGMATIDAE",NA,NA,NA,"214080200000000","SCAFA2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-05,"FPA"
"TEUTHOIDEA",NA,NA,NA,"515010000000000","TEUFAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-05,"FPA"
"ERICHSONELLA SP",NA,NA,NA,"411030603000000","ERICS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-05,"FPA"
"BIVALVIA LARVAE",NA,NA,NA,"512000000000200","BIVLAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-05,"FPA"
"HYPEROCHE SP",NA,NA,NA,"411011403000000","HYPES2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-05,"FPA"
"MYSIDACEA LARVAE",NA,NA,NA,"411060000000200","MYSLAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-05,"FPA"
"PARATHEMISTO COMPRESSA",NA,NA,NA,"411011404020000","PARCOM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-05,"FPA"
"POLYCHAETA LARVAE",NA,NA,NA,"214000000000200","POLLAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-05,"FPA"
"HIPPOLYTE ZOSTERICOLA",NA,NA,NA,"411021404030000","HIPZOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-05,"FPA"
"UNKNOWN 19","UNKNOWN 19",996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5",NA,NA,NA,2003-04-10 15:24:28,"NMCHUGH",2003-04-10 15:12:50,"NMCHUGH"
"TRICHOPHOXUS EPISTOMUS",NA,NA,NA,"411012403030000","TRIEPI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-24,"FPA"
"CHAETOZONE SP",NA,NA,NA,"214150407000000","CHAESP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-24,"FPA"
"CYATHURA SP",NA,NA,NA,"411030202000000","CYATSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-24,"FPA"
"LYONSIA SP",NA,NA,NA,"512090201000000","LYONSP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-05-24,"FPA"
